Category,Subcategory,Category_id,Subcategory_id,Links
Switch,Switch,36,76,https://www.pasternack.com/nsearchhandler.ashx?wrapperPageQuery=Category%3DHigh%2BIsolation%2BSwitches%255EHigh%2BIsolation%2BUSB%2BSwitches%26sort%3Dy%26view_type%3Dtable&requested_fields=all&iDisplayLength=100
Switch,Switch,36,76,https://www.pasternack.com/nsearchhandler.ashx?wrapperPageQuery=Category%3DPin%2BDiode%2BSwitches%255EElectromechanical%2BRelay%2BSwitches%255EManual%2BSwitches%255EHigh%2BIsolation%2BSwitches%255EHigh%2BIsolation%2BUSB%2BSwitches%255EWaveguide%2520Electromechanical%2520Relay%2520Switches%26keywords%3DEnhanced%26sort%3Dy%26view_type%3Dtable&requested_fields=all&iDisplayLength=100
Switch,Switch,36,76,"https://www.pasternack.com/nsearchhandler.ashx?wrapperPageQuery=Category%3DElectromechanical%2BRelay%2BSwitches%26keywords%3Drepeatability%26sort%3Dy%26view_type%3Dtable&requested_fields=rfacswelm99con3series,rfacswelm99controlvolt,rfacswelm99currentdc,rfacswelm99design,rfacswelm99ilmax&requested_fields=all&iDisplayLength=100"
Switch,Switch,36,76,https://www.pasternack.com/nsearchhandler.ashx?wrapperPageQuery=Category%3DManual%2BSwitches%26sort%3Dy%26view_type%3Dtable&requested_fields=all&iDisplayLength=100
Switch,Switch,36,76,https://www.pasternack.com/nsearchhandler.ashx?wrapperPageQuery=Category%3DPIN%2BDiode%2BSwitches%26sort%3Dy%26view_type%3Dtable&requested_fields=all&iDisplayLength=100
Switch,Switch,36,76,https://www.pasternack.com/nsearchhandler.ashx?wrapperPageQuery=Category%3DElectromechanical%2BRelay%2BSwitches%26Rfacswelm99conntermsubtype%3DSurface%2520Mount%26sort%3Dy%26view_type%3Dtable&requested_fields=all&iDisplayLength=100
Switch,USB Switch,36,87,https://www.pasternack.com/nsearchhandler.ashx?wrapperPageQuery=Category%3DHigh%2BIsolation%2BUSB%2BSwitches%26sort%3Dy%26view_type%3Dtable&requested_fields=all&iDisplayLength=100
Switch,Waveguide Switch,36,111,https://www.pasternack.com/nsearchhandler.ashx?wrapperPageQuery=Category%3DWaveguide%2520Electromechanical%2520Relay%2520Switches%26sort%3Dy%26view_type%3Dtable&requested_fields=all&iDisplayLength=100
Switch,Waveguide Switch,36,111,https://www.pasternack.com/nsearchhandler.ashx?wrapperPageQuery=Category%3DWaveguide%2520PIN%2520Diode%2520Switches%26sort%3Dy%26view_type%3Dtable&requested_fields=all&iDisplayLength=100
Switch,Waveguide Switch,36,111,https://www.pasternack.com/nsearchhandler.ashx?wrapperPageQuery=Category%3DWaveguide%2520Electromechanical%2520Relay%2520Switches%26sort%3Dy%26view_type%3Dtable&requested_fields=all&iDisplayLength=100
Switch,Waveguide Switch,36,111,https://www.pasternack.com/nsearchhandler.ashx?wrapperPageQuery=Category%3DWaveguide%2520PIN%2520Diode%2520Switches%26sort%3Dy%26view_type%3Dtable&requested_fields=all&iDisplayLength=100
Synthesizer,Synthesizer,37,78,https://www.pasternack.com/nsearchhandler.ashx?wrapperPageQuery=Category%3DNoise%2520Generators%26Rfacng99relgrade%3DEnhanced%26view_type%3Dtable&requested_fields=all&iDisplayLength=100
Synthesizer,Synthesizer,37,78,https://www.pasternack.com/nsearchhandler.ashx?wrapperPageQuery=Category%3DSynthesizers%26Rfacsn99relgrade%3DEnhanced%26view_type%3Dtable&requested_fields=all&iDisplayLength=100
Synthesizer,Synthesizer,37,78,https://www.pasternack.com/nsearchhandler.ashx?wrapperPageQuery=Category%3DSynthesizers%26sort%3Dy%26view_type%3Dtable&requested_fields=all&iDisplayLength=100
Waveguide,Flexible Waveguide,41,38,https://www.pasternack.com/nsearchhandler.ashx?wrapperPageQuery=Category%3DFlexible%2520Waveguides%26sort%3Dy%26view_type%3Dtable&requested_fields=all&iDisplayLength=100
Waveguide,Waveguide,41,96,https://www.pasternack.com/nsearchhandler.ashx?wrapperPageQuery=Category%3DWaveguide%2BBends%26sort%3Dy%26initial_sort%3Dselect%3AASC%26res_per_page%3D48%26view_type%3Dtable&requested_fields=all&iDisplayLength=100
Waveguide,Waveguide,41,96,https://www.pasternack.com/nsearchhandler.ashx?wrapperPageQuery=Category%3DWaveguide%2BSections%26sort%3Dy%26initial_sort%3Dselect%3AASC%26res_per_page%3D48%26view_type%3Dtable&requested_fields=all&iDisplayLength=100
Waveguide,Waveguide,41,96,https://www.pasternack.com/nsearchhandler.ashx?wrapperPageQuery=Category%3DWaveguide%2BTwists%26sort%3Dy%26initial_sort%3Dselect%3AASC%26res_per_page%3D48%26view_type%3Dtable&requested_fields=all&iDisplayLength=100
Waveguide,Waveguide,41,96,https://www.pasternack.com/nsearchhandler.ashx?wrapperPageQuery=Category%3DWaveguide%2BTwists%26sort%3Dy%26initial_sort%3Dselect%3AASC%26res_per_page%3D48%26view_type%3Dtable&requested_fields=all&iDisplayLength=100
Waveguide,Waveguide,41,96,https://www.pasternack.com/nsearchhandler.ashx?wrapperPageQuery=Category%3DWaveguide%2520Magic%2520Tees%26sort%3Dy%26view_type%3Dtable&requested_fields=all&iDisplayLength=100
Waveguide,Waveguide,41,96,https://www.pasternack.com/nsearchhandler.ashx?wrapperPageQuery=Category%3DNoise%2BGenerators%26Rfacng99designtype%3DWaveguide%26sort%3Dy%26view_type%3Dtable&requested_fields=all&iDisplayLength=100
Waveguide,Waveguide,41,96,https://www.pasternack.com/nsearchhandler.ashx?wrapperPageQuery=Category%3DWaveguide%2520Transitions%26sort%3Dy%26view_type%3Dtable&requested_fields=all&iDisplayLength=100
Waveguide,Waveguide,41,96,https://www.pasternack.com/nsearchhandler.ashx?wrapperPageQuery=keywords%3DWR5%26view_type%3Dtable&requested_fields=all&iDisplayLength=100
Waveguide,Waveguide,41,96,https://www.pasternack.com/nsearchhandler.ashx?wrapperPageQuery=keywords%3DWR10%26view_type%3Dtable&requested_fields=all&iDisplayLength=100
Waveguide,Waveguide,41,96,https://www.pasternack.com/nsearchhandler.ashx?wrapperPageQuery=keywords%3DWR15%26sort%3Dy%26view_type%3Dtable&requested_fields=all&iDisplayLength=100
Waveguide,Waveguide,41,96,https://www.pasternack.com/nsearchhandler.ashx?wrapperPageQuery=keywords%3DWR28%26sort%3Dy%26view_type%3Dtable&requested_fields=all&iDisplayLength=100
