Category,Subcategory,Category_id,Subcategory_id,Links
Detector,Power Detector,31,68,https://www.fairviewmicrowave.com/nsearchhandler.ashx?wrapperPageQuery=Category%3DDetectors%26sort%3Dy%26view_type%3Dtable&requested_fields=all&iDisplayLength=100
Detector,Waveguide Power Detector,31,109,https://www.fairviewmicrowave.com/nsearchhandler.ashx?wrapperPageQuery=Category%3DWaveguide%2BDetectors%26sort%3Dy%26view_type%3Dtable&requested_fields=all&iDisplayLength=100
,,,,
Filter,Low Pass Filter,16,51,https://www.fairviewmicrowave.com/nsearchhandler.ashx?wrapperPageQuery=Category%3DLowpass%2BFilters%26sort%3Dy%26view_type%3Dtable&requested_fields=all&iDisplayLength=100
Filter,Band Pass Filter,16,10,https://www.fairviewmicrowave.com/nsearchhandler.ashx?wrapperPageQuery=Category%3DBandpass%2BFilters%26sort%3Dy%26view_type%3Dtable&requested_fields=all&iDisplayLength=100
Filter,High Pass Filter,16,46,https://www.fairviewmicrowave.com/nsearchhandler.ashx?wrapperPageQuery=Category%3DHighpass%2BFilters%26sort%3Dy%26view_type%3Dtable&requested_fields=all&iDisplayLength=100
Filter,Tunable Filter,16,83,https://www.fairviewmicrowave.com/nsearchhandler.ashx?wrapperPageQuery=Category%3DTunable%2BFilters%26sort%3Dy%26view_type%3Dtable&requested_fields=all&iDisplayLength=100
Filter,Waveguide Filter,16,105,https://www.fairviewmicrowave.com/nsearchhandler.ashx?wrapperPageQuery=Category%3DWaveguide%2BBandpass%2BFilters%26sort%3Dy%26view_type%3Dtable&requested_fields=all&iDisplayLength=100
,,,,
Frequency Divider,Frequency Divider,18,39,https://www.fairviewmicrowave.com/nsearchhandler.ashx?wrapperPageQuery=Category%3DFrequency%2BDividers%26sort%3Dy%26view_type%3Dtable&requested_fields=all&iDisplayLength=100
,,,,
Multiplier,Multiplier,25,58,https://www.fairviewmicrowave.com/nsearchhandler.ashx?wrapperPageQuery=Category%3DFrequency%2BMultipliers%26sort%3Dy%26view_type%3Dtable&requested_fields=all&iDisplayLength=100
,,,,
Isolator,Isolator,21,49,https://www.fairviewmicrowave.com/nsearchhandler.ashx?wrapperPageQuery=Category%3DIsolators%26sort%3Dy%26view_type%3Dtable&requested_fields=all&iDisplayLength=100
,,,,
Power Limiter,Power Limiter,33,70,https://www.fairviewmicrowave.com/nsearchhandler.ashx?wrapperPageQuery=Category%3DLimiters%26sort%3Dy%26view_type%3Dtable&requested_fields=all&iDisplayLength=100
,,,,
Mixer,Mixer,23,56,https://www.fairviewmicrowave.com/nsearchhandler.ashx?wrapperPageQuery=Category%3DMixers%26Rfacmx99design%3DDouble%2BBalanced%26sort%3Dy%26view_type%3Dtable&requested_fields=all&iDisplayLength=100
Mixer,Mixer,23,56,https://www.fairviewmicrowave.com/nsearchhandler.ashx?wrapperPageQuery=Category%3DMixers%26Rfacmx99design%3DIQ%26sort%3Dy%26view_type%3Dtable&requested_fields=all&iDisplayLength=100
Mixer,Mixer,23,56,https://www.fairviewmicrowave.com/nsearchhandler.ashx?wrapperPageQuery=Category%3DWaveguide%2BConverter%2BMixers%26sort%3Dy%26view_type%3Dtable&requested_fields=all&iDisplayLength=100
,,,,
Synthesizer,Synthesizer,37,78,https://www.fairviewmicrowave.com/nsearchhandler.ashx?wrapperPageQuery=Category%3DSynthesizers%26sort%3Dy%26view_type%3Dtable&requested_fields=all&iDisplayLength=100
,,,,
Oscillator,Oscillator,26,60,https://www.fairviewmicrowave.com/nsearchhandler.ashx?wrapperPageQuery=Category%3DPhase%2520Locked%2520Crystal%2520Oscillators%26sort%3Dy%26view_type%3Dtable&requested_fields=all&iDisplayLength=100
Oscillator,Oscillator,26,60,https://www.fairviewmicrowave.com/nsearchhandler.ashx?wrapperPageQuery=Category%3DPhase%2BLocked%2BOscillators%26sort%3Dy%26view_type%3Dtable&requested_fields=all&iDisplayLength=100
Oscillator,Oscillator,26,60,https://www.fairviewmicrowave.com/nsearchhandler.ashx?wrapperPageQuery=Category%3DReference%2520Oscillators%26sort%3Dy%26view_type%3Dtable&requested_fields=all&iDisplayLength=100
Oscillator,Oscillator,26,60,https://www.fairviewmicrowave.com/nsearchhandler.ashx?wrapperPageQuery=Category%3DWaveguide%2BGunn%2BOscillators%26sort%3Dy%26view_type%3Dtable&requested_fields=all&iDisplayLength=100
Oscillator,Voltage Controlled Oscillator,26,94,https://www.fairviewmicrowave.com/nsearchhandler.ashx?wrapperPageQuery=Category%3DVoltage%2BControl%2BOscillators%26sort%3Dy%26initial_sort%3Dselect%3AASC%26res_per_page%3D48%26view_type%3Dtable&requested_fields=all&iDisplayLength=100
,,,,
Phase Shifter,Phase Shifter,29,66,https://www.fairviewmicrowave.com/nsearchhandler.ashx?wrapperPageQuery=Category%3DPhase%2BShifters%2Band%2BTrimmers%26Rfpsph99design%3D8%2520Bit%2520Programmable%2520Phase%2520Shifter%5EVariable%2520Phase%2520Shifter%26sort%3Dy%26view_type%3Dtable&requested_fields=all&iDisplayLength=100
Phase Shifter,Waveguide Phase Shifter,29,108,https://www.fairviewmicrowave.com/nsearchhandler.ashx?wrapperPageQuery=Category%3DWaveguide%2520Phase%2520Shifters%26sort%3Dy%26view_type%3Dtable&requested_fields=all&iDisplayLength=100
Phase Shifter,Phase Trimmer,29,124,https://www.fairviewmicrowave.com/nsearchhandler.ashx?wrapperPageQuery=Category%3DPhase%2BShifters%2Band%2BTrimmers%26Rfpsph99design%3DAdjustable%2BPhase%2BTrimmer%26sort%3Dy%26view_type%3Dtable&requested_fields=all&iDisplayLength=100
,,,,
